city_fips,city_nm,city_pop
100124,"Abbeville city, Alabama",2377
100460,"Adamsville city, Alabama",4172
100484,"Addison town, Alabama",667
100676,"Akron town, Alabama",224
100820,"Alabaster city, Alabama",34107
100988,"Albertville city, Alabama",23031
101132,"Alexander City city, Alabama",14470
101228,"Aliceville city, Alabama",2055
101396,"Allgood town, Alabama",556
101660,"Altoona town, Alabama",950
101708,"Andalusia city, Alabama",8840
101756,"Anderson town, Alabama",255
101852,"Anniston city, Alabama",21167
102116,"Arab city, Alabama",8830
102260,"Ardmore town, Alabama",1421
102320,"Argo town, Alabama",4386
102428,"Ariton town, Alabama",662
102500,"Arley town, Alabama",329
102836,"Ashford town, Alabama",2329
102860,"Ashland town, Alabama",1942
102908,"Ashville city, Alabama",2402
102956,"Athens city, Alabama",30904
103004,"Atmore city, Alabama",8315
103028,"Attalla city, Alabama",5818
103076,"Auburn city, Alabama",82025
103220,"Autaugaville town, Alabama",804
103364,"Avon town, Alabama",473
103556,"Babbie town, Alabama",640
103676,"Baileyton town, Alabama",683
103724,"Bakerhill town, Alabama",209
103940,"Banks town, Alabama",155
104660,"Bay Minette city, Alabama",8371
104684,"Bayou La Batre city, Alabama",2155
104852,"Bear Creek town, Alabama",1056
104900,"Beatrice town, Alabama",200
104948,"Beaverton town, Alabama",185
105164,"Belk town, Alabama",187
105692,"Benton town, Alabama",38
105812,"Berlin town, Alabama",524
105932,"Berry town, Alabama",1190
105980,"Bessemer city, Alabama",25037
106460,"Billingsley town, Alabama",124
107000,"Birmingham city, Alabama",196644
107120,"Black town, Alabama",233
107456,"Blountsville town, Alabama",1818
107672,"Blue Springs town, Alabama",79
107912,"Boaz city, Alabama",10369
108104,"Boligee town, Alabama",281
108248,"Bon Air town, Alabama",167
109016,"Brantley town, Alabama",803
109136,"Brent city, Alabama",2659
109208,"Brewton city, Alabama",5167
109328,"Bridgeport city, Alabama",2262
109400,"Brighton city, Alabama",2237
109424,"Brilliant town, Alabama",830
109736,"Brookside town, Alabama",1200
109808,"Brookwood town, Alabama",2440
110240,"Brundidge city, Alabama",2028
111032,"Butler town, Alabama",1767
111416,"Calera city, Alabama",18189
111512,"Camden city, Alabama",1710
111680,"Camp Hill town, Alabama",965
112016,"Carbon Hill city, Alabama",1731
112040,"Cardiff town, Alabama",52
112160,"Carolina town, Alabama",289
112304,"Carrollton town, Alabama",978
112496,"Castleberry town, Alabama",468
112760,"Cedar Bluff town, Alabama",1899
113264,"Center Point city, Alabama",15705
113648,"Centre city, Alabama",3782
113672,"Centreville city, Alabama",2701
114008,"Chatom town, Alabama",1068
114104,"Chelsea city, Alabama",16771
114152,"Cherokee town, Alabama",966
114392,"Chickasaw city, Alabama",6283
114464,"Childersburg city, Alabama",4637
115064,"Citronelle city, Alabama",3910
115136,"Clanton city, Alabama",9123
115256,"Clay city, Alabama",10221
115304,"Clayhatchee town, Alabama",481
115376,"Clayton town, Alabama",2212
115472,"Cleveland town, Alabama",1252
115640,"Clio city, Alabama",1200
116000,"Coaling town, Alabama",1986
116240,"Coffee Springs town, Alabama",210
116264,"Coffeeville town, Alabama",250
116312,"Coker town, Alabama",880
116600,"Collinsville town, Alabama",2064
