county_fips,county_nm,county_pop
1001,"Autauga County, Alabama",60342
1003,"Baldwin County, Alabama",253507
1005,"Barbour County, Alabama",24585
1007,"Bibb County, Alabama",21868
1009,"Blount County, Alabama",59816
1011,"Bullock County, Alabama",9897
1013,"Butler County, Alabama",18382
1015,"Calhoun County, Alabama",116429
1017,"Chambers County, Alabama",34079
1019,"Cherokee County, Alabama",25666
1021,"Chilton County, Alabama",46431
1023,"Choctaw County, Alabama",12252
1025,"Clarke County, Alabama",22337
1027,"Clay County, Alabama",14111
1029,"Cleburne County, Alabama",15639
1031,"Coffee County, Alabama",55643
1033,"Colbert County, Alabama",58361
1035,"Conecuh County, Alabama",11174
1037,"Coosa County, Alabama",10268
1039,"Covington County, Alabama",37952
1041,"Crenshaw County, Alabama",13101
1043,"Cullman County, Alabama",92016
1045,"Dale County, Alabama",49871
1047,"Dallas County, Alabama",36165
1049,"DeKalb County, Alabama",72569
1051,"Elmore County, Alabama",90441
1053,"Escambia County, Alabama",36558
1055,"Etowah County, Alabama",103241
1057,"Fayette County, Alabama",15967
1059,"Franklin County, Alabama",31802
1061,"Geneva County, Alabama",26988
1063,"Greene County, Alabama",7341
1065,"Hale County, Alabama",14888
1067,"Henry County, Alabama",17899
1069,"Houston County, Alabama",108462
1071,"Jackson County, Alabama",53467
1073,"Jefferson County, Alabama",662895
1075,"Lamar County, Alabama",13661
1077,"Lauderdale County, Alabama",96814
1079,"Lawrence County, Alabama",33502
1081,"Lee County, Alabama",183215
1083,"Limestone County, Alabama",114654
1085,"Lowndes County, Alabama",9717
1087,"Macon County, Alabama",18370
1089,"Madison County, Alabama",412600
1091,"Marengo County, Alabama",18684
1093,"Marion County, Alabama",29244
1095,"Marshall County, Alabama",100756
1097,"Mobile County, Alabama",411640
1099,"Monroe County, Alabama",19229
1101,"Montgomery County, Alabama",224980
1103,"Morgan County, Alabama",125133
1105,"Perry County, Alabama",7738
1107,"Pickens County, Alabama",18688
1109,"Pike County, Alabama",33137
1111,"Randolph County, Alabama",22786
1113,"Russell County, Alabama",58744
1115,"St. Clair County, Alabama",95552
1117,"Shelby County, Alabama",233000
1119,"Sumter County, Alabama",11727
1121,"Talladega County, Alabama",81132
1123,"Tallapoosa County, Alabama",40677
1125,"Tuscaloosa County, Alabama",237373
1127,"Walker County, Alabama",64728
1129,"Washington County, Alabama",15022
1131,"Wilcox County, Alabama",9944
1133,"Winston County, Alabama",23611
2013,"Aleutians East Borough, Alaska",3461
2016,"Aleutians West Census Area, Alaska",5160
2020,"Anchorage Municipality, Alaska",286075
2050,"Bethel Census Area, Alaska",18224
2060,"Bristol Bay Borough, Alaska",844
2063,"Chugach Census Area, Alaska",6769
2066,"Copper River Census Area, Alaska",2674
2068,"Denali Borough, Alaska",1584
2070,"Dillingham Census Area, Alaska",4607
2090,"Fairbanks North Star Borough, Alaska",94840
2100,"Haines Borough, Alaska",2070
2105,"Hoonah-Angoon Census Area, Alaska",2262
2110,"Juneau City and Borough, Alaska",31555
2122,"Kenai Peninsula Borough, Alaska",61223
2130,"Ketchikan Gateway Borough, Alaska",13738
2150,"Kodiak Island Borough, Alaska",12565
2158,"Kusilvak Census Area, Alaska",8001
2164,"Lake and Peninsula Borough, Alaska",1331
2170,"Matanuska-Susitna Borough, Alaska",115239
2180,"Nome Census Area, Alaska",9763
2185,"North Slope Borough, Alaska",10603
2188,"Northwest Arctic Borough, Alaska",7361
2195,"Petersburg Borough, Alaska",3427
2198,"Prince of Wales-Hyder Census Area, Alaska",5696
2220,"Sitka City and Borough, Alaska",8282
2230,"Skagway Municipality, Alaska",1095
2240,"Southeast Fairbanks Census Area, Alaska",7077
2275,"Wrangell City and Borough, Alaska",2064
2282,"Yakutat City and Borough, Alaska",687
2290,"Yukon-Koyukuk Census Area, Alaska",5129
4001,"Apache County, Arizona",65036
4003,"Cochise County, Arizona",124640
4005,"Coconino County, Arizona",144472
4007,"Gila County, Arizona",54003
4009,"Graham County, Arizona",39525
4011,"Greenlee County, Arizona",9369
4012,"La Paz County, Arizona",16710
4013,"Maricopa County, Arizona",4585871
4015,"Mohave County, Arizona",223682
4017,"Navajo County, Arizona",109175
4019,"Pima County, Arizona",1063162
4021,"Pinal County, Arizona",484239
4023,"Santa Cruz County, Arizona",49158
4025,"Yavapai County, Arizona",249081
4027,"Yuma County, Arizona",213221
5001,"Arkansas County, Arkansas",16307
5003,"Ashley County, Arkansas",18262
5005,"Baxter County, Arkansas",42875
5007,"Benton County, Arkansas",311013
5009,"Boone County, Arkansas",38530
5011,"Bradley County, Arkansas",10104
5013,"Calhoun County, Arkansas",4641
5015,"Carroll County, Arkansas",28814
5017,"Chicot County, Arkansas",9538
5019,"Clark County, Arkansas",21274
5021,"Clay County, Arkansas",14201
