county_fips,county_nm,county_pop,total_bg_pop,pop_11,pop_12,pop_13,pop_21,pop_22,pop_23,pop_31,pop_32,pop_33,pop_41,pop_42,pop_43,urban_suburban_pop,rural_pop,urban_suburban_perc,rural_perc,metro_fips,metro_nm,city_name,city_pop,city_contains_small_urban,city_contains_mid_sized_urban,city_contains_large_urban,MSA_large_urban,MSA_mid_sized_urban,locale_type
1001,"Autauga County, Alabama",60342,59284.999963663,,,,27988.1738340449,,,,,,15972.9390393188,15293.7989588175,30.0881314818048,27988.1738340449,31296.8261296182,0.472095367313813,0.527904632686187,33860,"Montgomery, AL",,,,,,0,1,Small town
1003,"Baldwin County, Alabama",253507,229207.382921638,,,35186.3926493417,5970.55399224539,,18001.5960596066,32629.0852106225,5465.14150604693,,107697.955062583,23459.0914802392,797.566960952916,59158.5427011937,131954.613503775,0.258100511192604,0.575699664739368,19300,"Daphne-Fairhope-Foley, AL",,,,,,0,0,Small urban
1005,"Barbour County, Alabama",24585,24756.9999092461,,,,,,,,3352.7643691181,,6302.36479850458,6909.59480742816,8192.27593419525,0,21404.235540128,0,0.864573075032976,,,,,,,,0,0,Rural
1007,"Bibb County, Alabama",21868,22151.9999999951,,,,,,,,,,36.3529812488113,21915.0695969946,200.577421751776,0,22151.9999999951,0,1,13820,"Birmingham, AL",,,,,,0,1,Rural
1009,"Blount County, Alabama",59816,59292.0000013417,,,,,,,,1540.64659178502,,9281.8882936615,47686.3035820718,783.161533823392,0,57751.3534095567,0,0.974015944954629,13820,"Birmingham, AL",,,,,,0,1,Rural
1011,"Bullock County, Alabama",9897,10156.9999999933,,,,,,,,,,,4388.38762712548,5768.61237286779,0,10156.9999999933,0,1,,,,,,,,0,0,Rural
1013,"Butler County, Alabama",18382,18806.9998750981,,,,,,,,3089.87430122417,,4411.48194075951,5558.54183687324,5747.10179624118,0,15717.1255738739,0,0.835706156125656,,,,,,,,0,0,Rural
1015,"Calhoun County, Alabama",116429,116140.999805009,,,30722.5184329231,,,27765.692329268,,,,45477.7341583667,12175.0548844509,,58488.2107621912,57652.7890428176,0.503596583983159,0.496403416016841,11500,"Anniston-Oxford, AL",,,,,,0,0,Small urban
1017,"Chambers County, Alabama",34079,34449.9999418257,,,,,,,,11934.7015083605,,10241.8961739783,11455.3895445984,818.012714888553,0,22515.2984334652,0,0.653564541987979,,,,,,,,0,0,Rural
1019,"Cherokee County, Alabama",25666,25223.9999995254,,,,,,,,,,,25223.9999995254,,0,25223.9999995254,0,1,,,,,,,,0,0,Rural
